s	p	o
n16090	p340	n12711
n20015	p362	n9751
n5289	p883	n3694
n5289	p883	n6238
n18573	p3976	n7961
n19445	p1987	n8983
n19445	p3043	n8984
n19445	p3043	n9764
n19445	p4017	n18406
n5142	p4012	n3171
n5142	p1694	n8948
n5142	p1694	n1555
n5142	p1730	n15065
n21326	p1389	n9811
n21326	p1389	n15345
n21326	p1389	n1105
n16814	p2267	n20675
n16814	p492	n5142
n5142	p1694	n15300
n5142	p1694	n15470
n5142	p1694	n18803
n12313	p3818	n7391
n16059	p492	n4913
n4913	p492	n12711
n12711	p492	n6024
n14112	p4012	n7387
n18954	p4012	n7387
n10482	p618	n15554
n18959	p4051	n4951
n14112	p4051	n14380
n16707	p2158	n14112
n16707	p2158	n18954
n16707	p2158	n12479
n16707	p750	n5227
n3826	p4051	n17442
n17493	p883	n4094
n13882	p855	n14112
n17292	p855	n18954
n13930	p855	n14112
n13930	p855	n18954
n13926	p1415	n13893
n17299	p1415	n17294
n13927	p1415	n13891
n13883	p2090	n4098
n17489	p1415	n13892
n17491	p1415	n17293
n17490	p1415	n13890
n21965	p3003	n4095
n21452	p3656	n10477
n19207	p3656	n10483
n8736	p3656	n2332
n2332	p4012	n8716
n2332	p978	n18950
n2332	p978	n14107
n1080	p929	n19751
n20181	p2121	n7817
n21232	p708	n5761
n12470	p2090	n618
n12471	p2090	n618
n12470	p2090	n16628
n12471	p2090	n16628
n12470	p3666	n611
n12471	p3666	n611
n12470	p3666	n600
n12471	p3666	n600
n12470	p2090	n592
n12471	p2090	n592
n12470	p3666	n9797
n16103	p2090	n6294
n12470	p2090	n19138
n12470	p3666	n19161
n10478	p246	n8968
n10478	p246	n8943
n12471	p772	n19161
n12471	p772	n19138
n12465	p2090	n618
n12465	p2090	n16628
n12465	p2090	n20314
n12465	p3856	n5517
n12465	p3666	n5519
n12465	p3666	n19698
n16239	p3666	n19516
n13926	p2112	n20195
n13883	p2112	n20195
n13883	p1816	n13185
n13185	p1694	n2230
n13185	p1694	n1858
n13926	p1816	n7817
n17299	p2112	n20195
n17299	p1816	n13185
n17299	p1816	n7817
n13927	p2112	n20195
n13927	p1694	n5537
n13927	p1694	n11811
n12470	p4044	n12471
n19767	p2090	n18041
n19767	p2090	n15069
n13927	p1730	n15065
n17489	p1694	n18294
n17489	p1816	n19135
n17489	p2112	n20195
n17489	p1730	n15065
n17491	p1816	n20195
n17491	p779	n15065
n17490	p1694	n1469
n17490	p1816	n19135
n17490	p2112	n20195
n17490	p1730	n15065
n17299	p1694	n8948
n13926	p779	n8948
n13926	p1694	n1555
n13926	p1694	n18803
n17299	p779	n18803
n13927	p1694	n18803
n13884	p1994	n10766
n13884	p808	n18448
n13884	p808	n19005
n13884	p808	n21538
n13884	p808	n15918
n12489	p492	n5228
n12489	p3818	n7391
n18122	p492	n6024
n18122	p492	n1829
n12466	p779	n5227
n12466	p3666	n15066
n14115	p492	n1555
n14115	p615	n6024
n14115	p779	n8948
n14115	p779	n3901
n18955	p492	n8948
n18955	p615	n6024
n18955	p779	n1555
n10858	p4044	n10830
n19769	p492	n11801
n19769	p492	n15065
n19769	p615	n10767
n13684	p615	n18308
n4504	p827	n7174
n9988	p331	n12033
n18563	p331	n12071
n21326	p3702	n12861
n21326	p2145	n581
n21326	p3569	n581
n21326	p128	n19520
n16923	p492	n5142
n5142	p1218	n18803
n7841	p3274	n5244
n12332	p4012	n5211
n5211	p951	n19990
n5211	p3557	n12194
n5211	p3557	n7817
n7841	p3274	n18042
n4288	p4012	n5211
n4285	p4012	n5211
n4288	p1694	n7162
n4288	p1694	n15065
n4285	p1694	n15800
n4285	p3666	n15065
n12324	p1994	n7391
n9269	p492	n4913
n7057	p2899	n5228
n2326	p4012	n7387
n2326	p3274	n2324
n2327	p2508	n20029
n12416	p260	n5511
n12304	p2575	n2979
n12304	p615	n5512
n17546	p2464	n19909
n17470	p3549	n12320
n12320	p4012	n16815
n4285	p1401	n76
n4288	p1401	n2300
n21382	p1401	n76
n21383	p1401	n2300
n20181	p3655	n12194
n5464	p3476	n1986
n5464	p3477	n3054
n8745	p3656	n2320
n8745	p3656	n2326
n18445	p4068	n605
n661	p3000	n8716
n1080	p41	n2319
n1080	p929	n5518
n15580	p4012	n11351
n15580	p258	n12414
n15580	p2359	n14142
n12607	p3308	n6910
n20451	p929	n19749
n4288	p951	n19130
n4288	p951	n15065
n4285	p3666	n19130
n5839	p2121	n7822
n5839	p2121	n7821
n4285	p1435	n20188
n4285	p1370	n12194
n4285	p3475	n7527
n4288	p1211	n3902
n4285	p3006	n3902
n4285	p1694	n18803
n4288	p1694	n18803
n18938	p2829	n4289
n18938	p2782	n4286
n18896	p2945	n17500
n18939	p3371	n2089
n12415	p3164	n18920
n13692	p3145	n12323
n17500	p772	n2321
n2321	p2876	n21374
n7841	p3272	n2322
n17277	p2586	n1647
n17277	p2486	n53
n4288	p1478	n17280
n4288	p1478	n17276
n4288	p1765	n583
n4288	p1765	n11211
n4288	p1765	n8507
n4285	p1514	n17278
n17275	p1861	n13468
n13468	p1029	n20225
n4290	p1469	n20236
n12414	p128	n19519
n15581	p3666	n5513
n15581	p3666	n5516
n15581	p3666	n5519
n12313	p3666	n5514
n4288	p1613	n12417
n4285	p3527	n12417
n12605	p2874	n4295
n12608	p3666	n19081
n12608	p3666	n19080
n4287	p1612	n19750
n4287	p1534	n12606
n10803	p2014	n20035
n16021	p3666	n15219
n16115	p3666	n9768
n3620	p3660	n17279
n7841	p711	n9249
n4288	p3628	n8867
n4285	p3763	n8883
n15149	p2161	n9751
n18134	p3628	n5250
n18132	p779	n5250
n9948	p626	n6086
n8164	p3371	n4288
n10533	p3371	n4285
n12304	p3833	n5515
n16022	p1994	n19719
n16241	p3666	n9718
n8717	p3148	n6156
n8710	p3159	n4032
n16080	p3666	n17931
n19039	p3089	n19040
n10843	p2090	n6094
n5142	p4012	n15789
n5142	p3557	n14079
n5142	p3557	n12194
n5142	p2034	n19291
n1836	p2034	n8948
n12304	p615	n616
n12325	p1994	n7393
n9270	p492	n6293
n6293	p492	n17747
n5142	p2719	n14471
n19337	p2228	n5257
n10255	p2963	n5257
n3297	p2963	n5257
n2655	p3666	n17747
n2655	p3666	n17904
n2655	p3666	n17907
n2655	p1701	n2379
n2655	p1701	n2386
n2655	p50	n12414
n2655	p50	n19845
n5900	p2548	n6024
n5900	p280	n5420
n16708	p2157	n2424
n16708	p2157	n5901
n16708	p4217	n14355
n14355	p438	n3042
n5222	p1236	n16732
n3947	p2302	n5222
n3947	p2607	n856
n3947	p2607	n7734
n14357	p603	n11025
n2061	p2288	n18874
n3046	p3828	n14616
n3046	p3828	n11028
n14616	p2963	n5897
n11029	p2963	n7751
n15670	p986	n20422
n21899	p3602	n21812
n21899	p4177	n7596
n2386	p4012	n2748
n2379	p4012	n2747
n7569	p4012	n7582
n19845	p4012	n20508
n19852	p4012	n20508
n19841	p4012	n20508
n12213	p4012	n5899
n4206	p4012	n5899
n6523	p4012	n5894
n11038	p4012	n5894
n10322	p3602	n1117
n10322	p3602	n20727
n10322	p3602	n13949
n10322	p3602	n13532
n5222	p1815	n10565
n5222	p1815	n9871
n5222	p1218	n11906
n5222	p1218	n19047
n5222	p1218	n3534
n5222	p2931	n21065
n5222	p2931	n3458
n5222	p320	n19337
n5222	p2710	n2655
n5222	p1694	n14468
n2346	p2519	n5200
n21313	p2260	n6024
n2345	p232	n9642
n311	p2876	n5201
n5508	p2876	n5201
n7548	p2876	n5201
n7555	p2876	n5201
n4210	p2876	n5201
n18251	p4057	n5200
n2389	p2519	n5200
n7578	p2876	n5201
n7570	p2876	n5201
n19848	p2876	n5201
n19853	p2876	n5201
n2386	p2574	n9673
n2445	p2519	n5200
n2444	p2605	n11026
n13844	p4056	n5200
n19834	p4056	n5200
n9099	p4056	n5200
n2536	p2876	n5201
n12232	p2876	n5201
n13438	p2876	n5201
n10252	p2876	n5201
n921	p2876	n5201
n1950	p2876	n5201
n1951	p2876	n5201
n2564	p2876	n5201
n12214	p2876	n5201
n4208	p2876	n5201
n6525	p2876	n5201
n11040	p2876	n5201
n1119	p2876	n5231
n20729	p2876	n5231
n13950	p2876	n5231
n13533	p2876	n5231
n2687	p3006	n11284
n16708	p3585	n11279
n2347	p4017	n10090
n18253	p4017	n1038
n18252	p2112	n6024
n5900	p280	n5419
n2390	p232	n11026
n11026	p232	n9678
n9678	p3148	n5221
n2386	p2434	n9223
n2386	p2434	n11448
n2392	p3212	n2391
n11027	p455	n14351
n14351	p405	n20563
n2735	p3213	n17747
n2735	p3213	n9672
n2735	p3176	n11906
n2735	p3176	n3534
n7752	p818	n15419
n5142	p1424	n11787
n5142	p1424	n11835
n5816	p462	n17907
n6832	p462	n17907
n9194	p462	n17907
n21024	p462	n17907
n21394	p462	n17907
n21393	p462	n17907
n6364	p462	n17907
n5142	p349	n19291
n5142	p1218	n9289
n5142	p1218	n9260
n5142	p1218	n1551
n17186	p232	n5198
n17203	p232	n5198
n17215	p232	n5198
n17157	p232	n5198
n13795	p232	n5198
n7438	p232	n5198
n7476	p232	n5198
n17311	p232	n5198
n8240	p232	n5198
n2473	p232	n5198
n10199	p232	n5198
n2655	p3666	n17876
n6797	p3666	n17876
n19337	p3666	n17876
n1582	p412	n6024
n17747	p331	n1575
n1575	p615	n17337
n5142	p1140	n20008
n5142	p1140	n2807
n5142	p1140	n16490
n17376	p937	n1584
n17376	p937	n3994
n17376	p937	n8343
n17376	p937	n2217
n5999	p4114	n1576
n4277	p4012	n17510
n4277	p3269	n5142
n9979	p4012	n7411
n9979	p3269	n5142
n21515	p2961	n3928
n17376	p3655	n21232
n17376	p3655	n5440
n17376	p3655	n16465
n11682	p2221	n20542
n8346	p2428	n15669
n5472	p708	n17747
n5443	p708	n8339
n3993	p708	n20216
n4277	p1654	n1742
n11685	p872	n20216
n4277	p1469	n20001
n4277	p1163	n19985
n19994	p3473	n4279
n9979	p1469	n20001
n7409	p2899	n20215
n17833	p749	n3995
n7817	p492	n10412
n12194	p492	n18763
n17750	p446	n3996
n11685	p4037	n8338
n4277	p1515	n8345
n4277	p1163	n8342
n11685	p4037	n2215
n4277	p1765	n2218
n4277	p1163	n2216
n11682	p2090	n8338
n4277	p1283	n6365
n4277	p1256	n20351
n4277	p1355	n8344
n4277	p1536	n1752
n4277	p1424	n8347
n6368	p4017	n4487
n6366	p4017	n6287
n1578	p960	n9890
n1578	p960	n9152
n1578	p960	n14832
n7387	p3478	n20213
n9064	p618	n3991
n17464	p492	n9056
n9058	p492	n9308
n11685	p96	n9892
n9892	p2090	n17352
n1585	p3574	n18076
n6367	p3148	n17334
n14833	p232	n17330
n18366	p424	n2096
n16825	p272	n2186
n16825	p272	n2797
n1576	p3222	n3040
n1576	p3222	n2786
n20872	p3176	n17994
n20872	p3176	n17341
n12547	p2508	n6024
n12547	p2508	n1083
n12547	p2508	n1540
n12547	p2163	n21326
n12547	p2434	n9728
n20032	p883	n9689
n8688	p603	n14595
n14595	p951	n20233
n20229	p622	n8722
n7701	p622	n8722
n12548	p1994	n9733
n12548	p1994	n12857
n12551	p232	n5142
n5142	p2034	n3556
n12551	p232	n3556
n12551	p84	n8696
n9728	p3702	n15542
n9728	p3702	n20232
n9728	p3702	n7705
n21953	p4051	n17612
n21953	p2121	n12567
n12567	p2575	n5045
n12567	p2952	n16639
n21267	p684	n21953
n21268	p4051	n8688
n794	p2961	n1134
n5795	p3656	n8688
n5795	p3655	n10680
n5795	p3655	n18576
n18577	p1987	n9728
n18577	p1987	n15540
n18577	p1987	n14595
n10680	p603	n20229
n10680	p603	n7701
n14602	p3602	n19000
n14602	p3602	n14603
n12567	p665	n9735
n12567	p772	n15541
n12567	p3666	n20226
n12567	p3666	n20227
n12567	p124	n9986
n12567	p2121	n18436
n12567	p680	n14598
n12567	p680	n14599
n12567	p1994	n20233
n12567	p1994	n20231
n12567	p4278	n20228
n14597	p2235	n4126
n4126	p477	n14600
n20238	p4031	n18183
n12567	p1994	n18183
n12567	p1994	n19012
n12567	p3525	n13471
n12567	p779	n10707
n12567	p811	n1310
n19013	p3695	n8700
n13471	p2561	n8751
n12567	p749	n2317
n2317	p4031	n14600
n12567	p3666	n9947
n16108	p492	n16088
n16088	p492	n11440
n11440	p492	n14601
n14601	p492	n19009
n14595	p1209	n20233
n14595	p1209	n20231
n14595	p1209	n15822
n14595	p1209	n14487
n20233	p890	n14764
n20231	p890	n18184
n20229	p3809	n1886
n20229	p4031	n20036
n7701	p4031	n2955
n20226	p4031	n2956
n12567	p3666	n2955
n12567	p2902	n9947
n12567	p861	n2315
n2316	p124	n14596
n14596	p4029	n19002
n12547	p2426	n2318
n12551	p628	n8727
n21448	p232	n5142
n21448	p629	n20023
n20023	p642	n19477
n19477	p3638	n8688
n20023	p1994	n5091
n12557	p2840	n1083
n12557	p639	n19001
n12567	p2693	n4904
n12567	p3000	n12553
n17774	p615	n3556
n18861	p615	n3556
n17774	p2150	n18861
n3619	p4292	n3561
n10672	p628	n10742
n10672	p628	n18712
n18713	p1994	n11359
n12567	p639	n11359
n9728	p2034	n6684
n12570	p2090	n18049
n16086	p2090	n12711
n16813	p492	n16086
n5142	p2196	n18352
n5142	p4012	n15786
n5142	p1105	n5560
n5142	p1374	n9632
n5142	p1806	n15302
n5142	p1806	n7159
n5325	p2275	n5142
n5142	p1218	n8948
n5142	p1218	n1488
n5142	p1218	n10402
n5142	p1218	n1553
n5142	p232	n19531
n16802	p492	n12325
n12325	p3502	n7387
n12325	p492	n6293
n6293	p4100	n2136
n2136	p492	n17747
n5142	p124	n12746
n1027	p1994	n3570
n20500	p883	n14178
n20500	p992	n20166
n19681	p4012	n3829
n19681	p1624	n17454
n17454	p84	n12304
n17454	p2434	n2491
n19681	p3269	n5142
n17454	p232	n19176
n17454	p232	n3525
n8004	p2780	n3166
n12799	p2780	n3166
n4196	p3274	n12861
n1422	p2548	n6066
n1422	p3702	n12931
n1422	p3702	n10104
n19681	p2090	n7539
n19681	p2090	n9145
n7535	p2605	n1422
n9142	p2605	n11448
n15839	p3148	n12797
n16562	p2734	n3039
n16562	p455	n2184
n2112	p343	n16570
n17377	p3338	n16577
n17377	p101	n16576
n17377	p101	n16581
n21273	p412	n5142
n21279	p4012	n21273
n13503	p4012	n21273
n17377	p4199	n19681
n19681	p2302	n17620
n17620	p4012	n21490
n19681	p2895	n14865
n16585	p2779	n11986
n16585	p2963	n9240
n9240	p4153	n1179
n9240	p4153	n1183
n9240	p4153	n1170
n9240	p4153	n1178
n1179	p3003	n1422
n1183	p3003	n11448
n1170	p3003	n16573
n1178	p3003	n7369
n11476	p2234	n15227
n11476	p2234	n18914
n1423	p2234	n7540
n2977	p2742	n16573
n2977	p2742	n7369
n11448	p1046	n13706
n11448	p1046	n9820
n11448	p2780	n12673
n1422	p2577	n12673
n16562	p2211	n16563
n19682	p951	n11476
n19682	p951	n1439
n11465	p951	n15227
n15227	p2645	n11476
n11463	p951	n16677
n11463	p951	n18914
n18914	p2645	n11476
n11464	p2231	n16584
n11464	p951	n13080
n1422	p1045	n1440
n1440	p982	n13621
n1440	p984	n16583
n1427	p951	n16682
n1427	p951	n20239
n1427	p2090	n15226
n1427	p492	n4553
n12005	p951	n13060
n13059	p4017	n13129
n19682	p951	n13035
n19682	p951	n13034
n16573	p2612	n2237
n7369	p2612	n7498
n16576	p2877	n8708
n16576	p2877	n15049
n5142	p2846	n1251
n16825	p492	n12325
n12325	p3666	n18876
n16222	p1994	n7388
n9268	p492	n6293
n6293	p615	n17747
n17377	p3731	n16578
n17377	p3731	n16565
n16564	p3148	n6156
n15832	p3705	n15280
n15280	p2090	n3014
n16562	p1180	n1422
n16562	p1180	n12005
n1422	p3069	n10109
n1422	p3069	n12932
n12005	p3069	n10109
n12005	p3069	n12932
n16574	p3702	n8051
n16574	p3716	n11398
n16574	p2121	n2060
n16574	p3578	n13747
n11476	p2575	n14642
n10697	p3263	n10696
n10696	p2713	n4563
n10696	p2713	n15048
n12418	p2434	n16562
n12304	p2434	n16562
n16567	p978	n12418
n16825	p275	n16569
n1037	p635	n11478
n1000	p635	n11477
n13088	p796	n16572
n16580	p3167	n7211
n14546	p412	n5142
n13623	p4012	n11563
n13623	p347	n16579
n16571	p633	n13623
n16568	p455	n2013
n16566	p426	n20596
n16566	p460	n4872
n17377	p3575	n16582
n17377	p3575	n9679
n17377	p3575	n13466
n19681	p951	n16575
n16562	p645	n2017
n5142	p4012	n5328
n5142	p1806	n18369
n5142	p1218	n1845
n5142	p1218	n19050
n5142	p1218	n11666
n5142	p1218	n10500
n5142	p232	n17344
n5142	p1175	n2870
n5142	p1175	n2862
n5142	p1175	n2888
n5142	p1175	n2854
n2873	p2829	n2864
n2843	p2518	n18369
n2843	p2518	n7159
n20918	p492	n2848
n2848	p2090	n2841
n2848	p2090	n2851
n5257	p1037	n17785
n5257	p2719	n13946
n5257	p331	n6715
n5257	p331	n3556
n5257	p331	n1845
n20552	p2090	n2843
n6662	p3407	n18823
n19331	p232	n5142
n19331	p1971	n18800
n4940	p615	n19331
n2539	p4012	n3173
n2539	p227	n18793
n2539	p227	n8308
n2539	p227	n15463
n2539	p227	n6631
n2539	p227	n3149
n2539	p227	n5676
n18793	p2073	n14325
n18793	p2073	n18824
n8308	p2073	n18150
n8308	p2073	n5871
n15463	p2073	n5873
n15463	p2073	n18143
n6631	p2073	n14326
n6631	p2073	n6656
n6631	p2073	n9250
n3149	p2073	n18810
n3149	p2073	n1850
n3149	p2073	n5872
n3149	p2073	n14571
n2540	p3749	n19265
n17384	p2227	n16438
n17384	p3348	n9692
n3940	p945	n15783
n3940	p2056	n12940
n2864	p3733	n15490
n15490	p735	n2865
n2864	p3733	n18798
n18798	p2034	n14325
n18798	p2034	n16217
n18798	p2034	n18144
n2864	p3733	n8309
n8309	p2034	n14552
n8309	p2034	n6715
n5875	p84	n14561
n2864	p3733	n15464
n15464	p2034	n19399
n15464	p2034	n1307
n15464	p2034	n21543
n15464	p2034	n8822
n15464	p2034	n16125
n15464	p2034	n16167
n2864	p3733	n6644
n6644	p2034	n10731
n6644	p2034	n10901
n6644	p2034	n16038
n6644	p2034	n6634
n2864	p3733	n3148
n3148	p2034	n4940
n3148	p2034	n1771
n3148	p2034	n18719
n3148	p2034	n6778
n3148	p2034	n19212
n4940	p492	n15309
n19212	p492	n15309
n2864	p966	n5675
n5675	p2034	n4829
n5675	p2034	n9595
n5675	p3666	n6651
n2902	p492	n9991
n2902	p492	n18822
n18822	p3666	n18823
n16217	p2090	n15488
n2902	p2090	n14552
n14552	p492	n6715
n6715	p3666	n2896
n2902	p2090	n5869
n5869	p2034	n19399
n5869	p2034	n1307
n5869	p2034	n21543
n3138	p854	n2889
n3136	p852	n2889
n3150	p854	n2889
n3139	p854	n2889
n18083	p854	n2889
n15491	p984	n6647
n15491	p2746	n12072
n11370	p2550	n2864
n5675	p3299	n14670
n15484	p883	n5583
n6243	p4051	n2892
n18651	p2292	n6024
n18651	p3666	n17785
n18651	p4293	n3561
n18651	p3666	n15589
n13164	p3371	n6024
n18645	p2090	n18035
n18003	p1040	n4313
n3245	p3274	n18711
n3245	p3274	n18068
n5142	p4012	n20591
n5142	p3557	n20381
n5142	p3557	n522
n5142	p1218	n1531
n5142	p1218	n18649
n18650	p2034	n18681
n18650	p2034	n18676
n18650	p2034	n7156
n18650	p2034	n4355
n18650	p2034	n13164
n18650	p1992	n2873
n16786	p518	n12401
n12401	p2434	n7387
n12391	p3666	n9733
n16092	p492	n12711
n17507	p3269	n5142
n17507	p951	n19176
n17507	p951	n20195
n17507	p951	n1469
n17507	p951	n1533
n17507	p951	n1534
n17507	p951	n17326
n17507	p951	n18651
n20763	p2034	n8798
n20763	p2034	n3270
n18692	p3707	n7401
n19575	p2606	n3275
n19575	p3702	n4315
n12391	p3666	n17221
n16192	p1994	n17222
n16193	p1994	n3249
n16245	p749	n12287
n17393	p103	n3272
n17393	p4146	n10780
n17393	p4072	n17466
n17393	p4199	n17507
n17507	p1415	n17554
n17554	p2464	n19910
n19910	p3716	n12381
n19910	p3716	n12373
n17561	p2302	n21499
n11974	p4189	n20693
n14694	p3655	n5742
n14694	p3655	n5775
n5746	p1998	n5444
n5746	p1998	n5500
n5444	p3656	n7167
n5444	p3656	n14043
n16284	p2750	n3057
n8193	p2750	n21275
n5500	p2749	n12609
n18699	p509	n21385
n18699	p509	n12286
n18699	p509	n15663
n18699	p567	n4531
n18699	p567	n20234
n18699	p567	n5503
n4531	p2312	n5449
n20234	p2312	n5450
n15663	p2499	n8580
n17393	p3602	n9912
n9912	p2214	n11158
n9912	p2237	n1880
n17393	p4207	n10160
n14489	p2506	n6461
n14485	p2506	n18459
n18705	p2311	n12286
n18705	p2311	n15663
n16279	p2361	n572
n17393	p3248	n3884
n3884	p887	n7135
n3258	p2428	n14350
n18487	p4012	n2233
n18487	p3367	n646
n18487	p2947	n3245
n21386	p2609	n18662
n17561	p1471	n3271
n17561	p951	n7121
n17561	p951	n5854
n17561	p951	n4933
n7121	p2370	n8633
n10039	p3602	n16632
n7121	p2638	n7122
n9912	p3381	n12286
n9912	p411	n21385
n19176	p411	n21385
n9912	p2812	n15663
n9912	p2169	n21499
n7121	p2521	n9913
n18662	p2521	n9913
n18690	p2881	n14485
n18690	p2439	n14489
n17561	p951	n13374
n3258	p2580	n17561
n3256	p2947	n3245
n3257	p2947	n3245
n18487	p2719	n526
n18487	p2719	n7120
n18490	p2882	n11098
n17393	p569	n3273
n12391	p2901	n3269
n12391	p2901	n12285
n12391	p2901	n18488
n12391	p2901	n5855
n5853	p634	n4494
n5853	p634	n18676
n12285	p3115	n16246
n19840	p340	n12284
n12285	p342	n6103
n6103	p334	n9586
n9586	p615	n12970
n3247	p2574	n16191
n16191	p1994	n17224
n17903	p340	n12858
n12858	p340	n18684
n19575	p3562	n18714
n19575	p3702	n5904
n19575	p3702	n1579
n17223	p3274	n18687
n12374	p2829	n17220
n12374	p2829	n19839
n12374	p2829	n8755
n12374	p2829	n4018
n12374	p2829	n18694
n18491	p2832	n21016
n16262	p638	n18488
n12285	p615	n18489
n10781	p883	n3268
n18671	p381	n3255
n1821	p381	n18715
n9339	p381	n4910
n5142	p249	n6748
n5142	p3557	n19127
n5142	p2751	n1599
n16786	p890	n12584
n16825	p1929	n14307
n16825	p1929	n14522
n7845	p44	n7888
n7888	p3272	n16832
n7892	p883	n13414
n17507	p2090	n6761
n17507	p951	n5629
n17507	p3666	n19600
n17507	p951	n3534
n17507	p951	n1829
n75	p4012	n18034
n6520	p4012	n18054
n6520	p1401	n8931
n75	p1401	n62
n8932	p899	n17987
n2655	p2229	n5327
n2655	p2229	n5142
n2670	p2953	n12052
n2655	p3274	n20660
n20660	p4012	n20509
n20509	p4012	n2927
n20660	p695	n12824
n20660	p2175	n8375
n20660	p2175	n10919
n20660	p2175	n5890
n20660	p2175	n2768
n2655	p42	n20660
n20660	p3274	n8084
n20660	p3274	n7435
n20660	p2150	n7320
n20655	p2217	n3118
n20655	p2217	n5728
n20640	p2121	n20381
n20640	p3565	n6748
n20649	p2519	n20027
n17401	p4068	n20644
n17401	p551	n20650
n17401	p4068	n20642
n17401	p4068	n20652
n17401	p4199	n6520
n17401	p4159	n75
n17401	p4163	n21499
n6520	p2464	n4122
n20659	p2348	n75
n6521	p2464	n4123
n1142	p1129	n1129
n11974	p3585	n7048
n11974	p3585	n21401
n15705	p3602	n20661
n15705	p3310	n19953
n4019	p2963	n20662
n16730	p4012	n18137
n17401	p3466	n14445
n9015	p3269	n6748
n3991	p2612	n15950
n6430	p2251	n7951
n6430	p2251	n5298
n19190	p3799	n7824
n18545	p2982	n19199
n3985	p2963	n14816
n3209	p883	n18141
n19617	p4089	n11840
n6520	p1435	n4066
n8614	p232	n18049
n20651	p4031	n20645
n9566	p3148	n18049
n16730	p772	n9043
n16730	p828	n19183
n16730	p828	n19197
n16730	p810	n19600
n20654	p772	n9041
n20654	p3666	n9042
n16082	p2118	n15232
n20654	p772	n19183
n20654	p3666	n19197
n16232	p2118	n1227
n20654	p810	n19600
n20653	p1664	n20197
n20195	p736	n19176
n17401	p569	n20657
n20639	p44	n11696
n20649	p3272	n19197
n20641	p1015	n1233
n20654	p1081	n11661
n11661	p693	n18077
n20648	p2581	n5640
n20648	p2095	n10470
n4677	p638	n869
n20647	p380	n20213
n9308	p384	n9037
n20647	p384	n9022
n20195	p2863	n20217
n19197	p2625	n12861
n20640	p899	n12861
n20640	p4100	n2928
n2928	p3565	n8066
n8066	p2090	n6352
n9486	p384	n18041
n20654	p3666	n20658
n16259	p441	n18041
n14465	p351	n7907
n7985	p331	n3705
n3705	p275	n17986
n14453	p3205	n7983
n20643	p84	n9992
n13508	p337	n2769
n20195	p298	n19176
n1221	p371	n20196
n20656	p1516	n14946
n14946	p3037	n5347
n5142	p1351	n7874
n5142	p2267	n17529
n17442	p890	n12451
n12449	p1389	n21338
n17529	p3666	n18876
n16222	p1994	n7393
n9270	p1564	n6293
n6293	p1564	n2136
n2136	p1564	n17747
n6748	p1564	n7817
n5142	p1694	n1488
n5142	p1694	n1559
n5142	p1730	n19535
n5142	p1694	n19047
n5142	p1694	n11906
n5142	p1694	n5868
n2655	p1389	n1223
n2655	p1389	n1188
n2655	p1389	n1262
n2655	p1389	n4203
n2655	p1383	n6010
n6010	p3666	n17862
n2655	p1157	n5900
n5900	p1227	n6523
n5900	p1227	n11038
n5900	p1227	n4206
n5900	p1227	n12211
n5900	p1227	n7571
n5142	p1694	n5895
n5895	p1564	n2381
n5895	p1564	n2387
n17507	p1730	n4483
n17516	p1730	n5609
n5609	p1761	n5638
n4483	p1761	n10178
n19687	p1135	n17442
n19687	p1819	n306
n306	p1936	n11607
n306	p1605	n12489
n19693	p1389	n12836
n19687	p1694	n3827
n3827	p1389	n12834
n19687	p2576	n3039
n19687	p1694	n1885
n1885	p1227	n11910
n1885	p1227	n11900
n1885	p1227	n10712
n1885	p1227	n19017
n1885	p1227	n1311
n1885	p1227	n18802
n11910	p1227	n8683
n11910	p1227	n7066
n11910	p1227	n21222
n11900	p1227	n16699
n10712	p1227	n13596
n19017	p1227	n21589
n1311	p1227	n5829
n18802	p1227	n18806
n17928	p2526	n14315
n14315	p1389	n15231
n12796	p1227	n7538
n12796	p1227	n9144
n12792	p2965	n10282
n1426	p2965	n7535
n5891	p1227	n21898
n5891	p1227	n21431
n21898	p1227	n2384
n21898	p1227	n2388
n21898	p1227	n7577
n21898	p1227	n6524
n21898	p1227	n11039
n21898	p1227	n4207
n21898	p1227	n12212
n21898	p1227	n19833
n21898	p1227	n1659
n19687	p3666	n8683
n16079	p1761	n5638
n19687	p1694	n4484
n19687	p1694	n19134
n19687	p2090	n18049
n9546	p2526	n14315
n14316	p1564	n12189
n14316	p1564	n7806
n19687	p2090	n18041
n19687	p1694	n8948
n8948	p1761	n14967
n19687	p1694	n19018
n19018	p1761	n14967
n19687	p3666	n1310
n15991	p1761	n14967
n19687	p1694	n1043
n1043	p1761	n10178
n1043	p1761	n791
n19687	p1730	n16238
n16238	p1761	n10181
n19687	p1640	n1442
n1442	p2603	n7535
n1442	p2576	n15048
n1442	p2576	n4563
n19687	p1640	n11486
n11486	p2603	n9142
n11486	p2576	n15048
n11486	p2576	n4563
n1442	p41	n1428
n11486	p41	n11468
n19687	p1694	n5836
n5836	p2576	n8751
n19687	p1640	n8151
n8151	p2576	n4563
n19687	p1640	n15846
n15846	p2576	n19476
n15846	p2603	n10282
n15846	p2603	n7535
n19687	p1640	n6578
n6578	p1564	n1432
n1432	p2603	n7535
n19687	p1640	n1017
n19687	p1694	n2383
n2383	p2576	n3057
n2383	p2576	n8751
n19687	p1694	n2390
n2390	p2576	n8751
n19687	p1694	n11043
n11043	p2576	n3057
